fk_customer,channel,partner,device,first_sale_number,age,gender,state,expected_delivery_date,delivered_date,first_sale_date,second_sale_date,has_marketplace,has_crossdocking,has_private_label,has_brands,gmv
32294022,DISPLAY,GLISPA,APP ANDROID,4469153571,35,female,goiás,20190524,20190517,20190507,,0,0,0,1,254.99
26737888,COMPARISON,GOOGLE,M+T SITE,26532384,25,female,minas gerais,20180416,20180410,20180402,20190314,0,0,1,1,254.68
28031684,ORGANIC,GOOGLE,DESKTOP,861463,34,female,são paulo,20180710,20180706,20180701,,0,0,0,1,189.97
27118390,FACEBOOKADS - APP,FACEBOOK,APP IOS,4472892119,37,female,são paulo,20190821,20190816,20190814,20190814,1,0,1,1,1434.47
26009334,CRM - APPPUSH,APPLIFT,APP ANDROID,11366284,22,female,goias,20180418,20180404,20180317,20180804,0,0,1,0,177.97
35911771,FACEBOOKADS - PROSPECT,FACEBOOK,M+T SITE,4473318891,43,female,são paulo,20190830,20190829,20190826,,0,0,0,1,44.99
26791258,REMARKETING,CRITEO,APP ANDROID,94756974,45,female,bahia,20180423,20180417,20180410,,0,0,0,1,179.99
28046981,ORGANIC,GOOGLE,M+T SITE,4458614716,31,female,são paulo,20180725,20180712,20180702,,0,0,0,0,259.99
31220072,AFFILIATES - GENERAL,CUPONATION,M+T SITE,9774944,55,male,santa catarina,20190218,20190211,20190201,20190415,0,0,0,0,134.99
32260550,ORGANIC,GOOGLE,M+T SITE,4468475482,30,male,são paulo,20190424,20190423,20190416,,0,0,0,1,89.99
26710000,FACEBOOKADS - APP,FACEBOOK,APP ANDROID,4463901111,40,female,goiás,20181213,20181209,20181124,,0,0,1,1,617.95
12121998,FACEBOOKADS - STATIC,FACEBOOK,M+T SITE,58136984,21,female,sao paulo,20180323,20180323,20180322,,0,0,0,1,75.00
34518665,ORGANIC,GOOGLE,DESKTOP,4470596142,56,male,são paulo,20190628,20190619,20190612,,0,0,0,1,489.98
29215348,SEM BRAND,GOOGLE,DESKTOP,3019294,19,female,são paulo,20181022,20181019,20181015,,0,0,0,0,99.99
30138125,DIRECT,DIRECT,APP ANDROID,4463690526,40,male,são paulo,20181213,20181129,20181123,20190419,0,0,0,0,114.99
17878688,CRM - EMAIL,AUTOMATED,DESKTOP,2887009,34,male,minas gerais,20181024,20181017,20181007,20181008,0,0,0,1,100.80
28029478,COMPARISON,GOOGLE,DESKTOP,4458591522,28,male,santa catarina,20180717,20180710,20180701,,0,0,0,1,129.98
30989916,COMPARISON,GOOGLE,M+T SITE,4465541025,26,male,bahia,20190204,20190125,20190112,20190117,0,0,0,0,549.99
27545130,SEM NON-BRAND,GOOGLE,DESKTOP,54519934,33,female,são paulo,20180607,20180601,20180529,,0,0,0,1,199.90
30248157,SEM BRAND,GOOGLE,M+T SITE,4464094650,22,female,são paulo,20181211,20181207,20181127,,0,0,0,1,179.98
35864870,FACEBOOKADS - PROSPECT,FACEBOOK,M+T SITE,22706652,33,male,rio grande do sul,20190906,20190904,20190823,,0,0,0,1,139.99
29001654,REMARKETING,GOOGLE,DESKTOP,4469515477,39,female,são paulo,20190522,20190522,20190517,,0,0,0,1,299.00
36574179,COMPARISON,GOOGLE,DESKTOP,4474790519,42,male,minas gerais,20191018,,20191009,,0,0,0,1,134.99
32472368,COMPARISON,GOOGLE,M+T SITE,4470251628,31,male,são paulo,20190610,20190610,20190604,,0,0,0,0,284.99
27338937,DIRECT,DIRECT,APP ANDROID,2087601,12,female,goiás,20180919,20180905,20180825,20181125,0,0,1,0,99.00
30469489,CRM - EMAIL,GOOGLE,DESKTOP,4464535500,30,female,paraná,20181220,20181213,20181207,20190130,0,0,1,0,99.00
27797982,SEM BRAND,GOOGLE,M+T SITE,4458070224,35,female,são paulo,20180626,20180621,20180615,,0,0,0,1,119.97
33935790,COMPARISON,GOOGLE,DESKTOP,4469694678,19,male,são paulo,20190524,20190524,20190521,,0,0,0,1,49.99
28972717,CRM - EMAIL,EXCHANGED,APP ANDROID,4461100873,36,female,são paulo,20180917,20180914,20180911,20180930,0,0,1,0,99.00
32077941,REFERRAL,UNKOWN,DESKTOP,4467994595,25,female,rio grande do sul,20190426,20190415,20190403,,0,0,0,1,274.89
22571000,FACEBOOKADS - APP,FACEBOOK,APP ANDROID,4474644785,31,female,bahia,20191021,,20191005,,0,0,0,0,169.90
32032164,COMPARISON,STYLIGHT,DESKTOP,4467933204,50,female,são paulo,20190405,20190405,20190401,,0,0,0,1,144.99
